                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8282,                0.67781,                  1.039,                0.89853,                0.82662,                0.92247,                 0.7576,                0.75412,                0.61393,                  1.109,             0.00073704,             0.00073704,             0.00073704
                     36,                0.78026,                 1.2285,                0.99374,                0.85803,                0.84221,                0.90353,                 0.7399,                0.74625,                0.63754,                 1.1152,             0.00072604,             0.00072604,             0.00072604
                     37,                0.82211,                0.65465,                 1.0378,                 0.9366,                0.84563,                0.92387,                0.76648,                 0.6822,                0.63086,                 1.1049,             0.00071504,             0.00071504,             0.00071504
                     38,                0.79941,                0.61805,                 1.0257,                0.92978,                 0.8302,                0.91166,                0.77455,                0.70964,                 0.6306,                 1.0944,             0.00070404,             0.00070404,             0.00070404
                     39,                0.80548,                0.64011,                 1.0265,                0.93318,                0.84466,                0.91352,                 0.7516,                0.75589,                0.67995,                 1.1244,             0.00069304,             0.00069304,             0.00069304
                     40,                0.79794,                0.62197,                 1.0179,                0.91247,                0.87156,                0.93722,                0.78983,                0.70244,                0.56451,                 1.0998,             0.00068204,             0.00068204,             0.00068204
                     41,                0.79036,                0.62817,                 1.0167,                0.89593,                0.82641,                0.91215,                0.76465,                0.67996,                 0.6045,                 1.0713,             0.00067104,             0.00067104,             0.00067104
                     42,                0.82549,                0.64007,                 1.0474,                0.91282,                0.85816,                0.92665,                0.76873,                0.68944,                0.58184,                 1.0836,             0.00066005,             0.00066005,             0.00066005
                     43,                0.77254,                0.58052,                 1.0201,                0.90685,                0.83992,                 0.9127,                0.75272,                0.74248,                0.62148,                 1.1089,             0.00064905,             0.00064905,             0.00064905
                     44,                0.75066,                0.58008,                 1.0043,                0.96228,                0.81079,                0.91501,                0.76239,                0.72362,                0.60824,                 1.1325,             0.00063805,             0.00063805,             0.00063805
                     45,                 0.7734,                0.57802,                 1.0101,                0.90677,                0.84329,                 0.9274,                0.77944,                0.65376,                0.59209,                 1.0745,             0.00062705,             0.00062705,             0.00062705
                     46,                  0.766,                0.57844,                 1.0014,                0.88078,                0.85238,                0.91879,                0.77982,                0.67675,                0.61791,                 1.0758,             0.00061605,             0.00061605,             0.00061605
                     47,                0.76767,                0.58043,                 1.0061,                0.89944,                0.86807,                0.92123,                0.78041,                 0.6866,                0.59658,                 1.0767,             0.00060505,             0.00060505,             0.00060505
                     48,                 0.7731,                0.58179,                 1.0103,                0.90279,                0.86762,                0.92611,                0.79587,                0.67488,                0.58369,                 1.0703,             0.00059405,             0.00059405,             0.00059405
                     49,                0.75247,                0.57182,                0.99974,                0.91542,                0.85718,                 0.9343,                0.79394,                0.67116,                0.54169,                 1.0616,             0.00058305,             0.00058305,             0.00058305
                     50,                 0.7473,                0.55089,                 1.0012,                0.96217,                0.80803,                0.92691,                0.79283,                0.66635,                0.54702,                 1.0677,             0.00057205,             0.00057205,             0.00057205
                     51,                0.71245,                0.53903,                0.98514,                0.90301,                0.85761,                0.93051,                0.79852,                0.63982,                0.53576,                 1.0619,             0.00056105,             0.00056105,             0.00056105
